City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Namatanai,PG,28.46,light rain,-3.67,152.43,Seagulls Inn Namatani
452,Kontagora,NG,22.22,overcast clouds,10.4,5.47,Queens Guest Inn
456,Popondetta,PG,32.83,clear sky,-8.75,148.25,Timos Transit House
459,Kieta,PG,28.71,light rain,-6.22,155.63,Uruna Bay Retreat
460,Dayong,CN,27.82,clear sky,25.02,118.29,Haiyue Express Hotel
462,Machaneng,BW,20.01,clear sky,-23.19,27.49,Matswelo Hotel
465,Zhicheng,CN,26.08,light rain,30.3,111.5,Wangjiang Building
466,Najran,SA,21.36,clear sky,17.49,44.13,محمد هادي ال فطيح
468,Pokhara,NP,21.6,overcast clouds,28.23,83.98,Butterfly Lodge
476,Tucuman,AR,23.0,clear sky,-26.82,-65.22,HOTEL MIAMI
479,Farmersville,US,30.5,clear sky,36.3,-119.21,Mountain View Mobile Home Park
482,Ramona,US,26.59,clear sky,33.04,-116.87,Ramona Terrace Estates
484,Guaruja,BR,23.42,few clouds,-23.99,-46.26,Charme Hotel Guarujá
493,Buala,SB,29.62,light rain,-8.14,159.59,Maringe Lagoon Lodge
495,Victoria,SC,29.1,clear sky,22.29,114.16,Mini Hotel Central
497,Sawakin,SD,29.32,broken clouds,19.11,37.33,فندق الدويم
500,Trairi,BR,26.19,clear sky,-3.28,-39.27,janelas do mar
503,Uthal,PK,28.75,few clouds,25.81,66.62,Al-Mustafa Hotel
505,Oistins,BB,27.05,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
506,Kluang,MY,24.85,overcast clouds,2.03,103.33,Hotel Anika
507,Atambua,ID,29.03,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
508,Meulaboh,ID,25.03,overcast clouds,4.14,96.13,Kost Pria
510,Sarangani,PH,28.36,overcast clouds,5.4,125.46,Ballistic Islet
514,Itarema,BR,26.13,few clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
515,Safford,US,29.51,few clouds,32.83,-109.71,SpringHill Suites by Marriott Thatcher
518,Aden,YE,29.59,overcast clouds,12.78,45.04,Sama Emirate Hotel
524,Portel,BR,25.26,overcast clouds,-1.94,-50.82,Pousada Avenida
531,Tucurui,BR,27.4,broken clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
533,Kijang,ID,23.85,overcast clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
534,Kollam,IN,25.93,overcast clouds,8.88,76.6,Nani Hotels and Resorts
535,Praia da vitoria,PT,22.14,overcast clouds,38.73,-27.07,Hotel Branco I
538,Abu kamal,SY,21.73,clear sky,34.45,40.92,محطة التلفاز
541,Hambantota,LK,25.19,few clouds,6.12,81.12,Bungalow 63
542,Nhulunbuy,AU,31.34,overcast clouds,-12.23,136.77,East Arnhem Real Estate
544,Freeport,US,21.98,clear sky,40.66,-73.58,The Freeport Inn and Marina
546,Vilhena,BR,28.14,overcast clouds,-12.74,-60.15,Hotel Mirage
547,Iranshahr,IR,28.19,clear sky,27.2,60.68,پانسیون پزشکان متخصص خاتم
548,Biak,ID,27.39,overcast clouds,-0.91,122.88,Penginapan Kim
550,Tautira,PF,25.01,light rain,-17.73,-149.15,Pension Oaoa
551,Yen bai,VN,25.29,broken clouds,21.7,104.87,AK MOTEL
552,Alta floresta,BR,26.53,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
554,Maceio,BR,26.69,scattered clouds,-9.67,-35.74,Poutur Pousada
555,Le vauclin,MQ,26.03,broken clouds,14.55,-60.84,Hôtel Cap Macabou
556,Rantepao,ID,25.08,broken clouds,-2.97,119.9,Hotel Luta Resort
560,Kavaratti,IN,27.39,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
561,Mastic beach,US,20.1,scattered clouds,40.77,-72.85,Brushwood House by Smith Point Beach
562,Shingu,JP,24.95,overcast clouds,33.73,135.98,Shingu UI Hotel
564,Ouahigouya,BF,28.6,clear sky,13.58,-2.42,Hotel Liberte
565,Pucallpa,PE,25.02,broken clouds,-8.38,-74.55,Hostal Antonios - Pucallpa
566,Etchoropo,MX,35.79,clear sky,26.77,-109.67,Campo de Andrés cruz jusaino
571,Puerto rondon,CO,24.46,broken clouds,6.28,-71.1,HOTEL CAMINO REAL
574,Bosaso,SO,32.52,overcast clouds,11.28,49.18,Red Sea Hotel
577,Sorong,ID,28.47,overcast clouds,-0.88,131.25,waigo splash hotel
578,Nantucket,US,21.09,clear sky,41.28,-70.1,Jared Coffin House
581,Klaeng,TH,26.64,heavy intensity rain,12.78,101.65,สวัสดีการ์เดนท์รีสอร์ท
584,Chandausi,IN,24.85,clear sky,28.45,78.77,GUPTA GUEST HOUSE CHANDAUSI
585,Montagnana,IT,20.06,clear sky,45.23,11.46,CASTELLO BEVILACQUA
587,Monrovia,LR,25.87,moderate rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
588,Along,IN,23.29,scattered clouds,28.17,94.77,Hotel West
589,Grand gaube,MU,22.22,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
590,Civita castellana,IT,21.82,overcast clouds,42.3,12.41,Palace Hotel Relais Falisco
591,Brownwood,US,28.87,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
592,Douentza,ML,31.11,clear sky,15.0,-2.95,Ogomono Doumbo
593,Misawa,JP,20.89,broken clouds,40.68,141.36,Hotel Route Inn Misawa
594,Morant bay,JM,29.79,clear sky,17.88,-76.41,Whispering Bamboo Cove Resort
598,Myitkyina,MM,26.1,light rain,25.38,97.4,Shwe Phyu Hotel
600,Bowen,AU,25.12,clear sky,-20.02,148.23,Castle Motor Lodge Motel
601,Bandrele,YT,23.86,clear sky,-12.91,45.19,Les Baobabs
602,Sur,OM,29.29,overcast clouds,22.57,59.53,Sur Plaza Hotel
606,Salinopolis,BR,26.7,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
612,Dingli,MT,23.23,few clouds,35.86,14.38,The Xara Palace Relais & Chateaux
614,Sibolga,ID,26.11,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
615,Liuzhou,CN,28.61,clear sky,24.31,109.39,Linjiang Inn
618,Lorengau,PG,29.85,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
619,Bolobo,CD,22.34,few clouds,-2.17,16.23,Hotel de Stephen
621,Bilma,NE,29.32,clear sky,18.69,12.92,Expeditions Ténére voyages
623,Celestun,MX,27.87,broken clouds,20.87,-90.4,Posada Lilia
626,Bartica,GY,25.18,few clouds,6.4,-58.62,Sloth Island Nature Resort
627,San juan,AR,23.74,clear sky,-31.54,-68.54,Hotel Provincial
