City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Tual,ID,2021-09-21 05:09:15,-5.6667,132.75,79.77,80,78,13.4
243,Yerofey Pavlovich,RU,2021-09-21 05:09:16,53.9667,121.9667,63.66,60,13,4.54
244,Gucheng,CN,2021-09-21 05:09:16,35.9115,111.3192,82.33,30,0,9.06
245,Buchanan,LR,2021-09-21 05:09:16,5.8808,-10.0467,76.78,88,95,4.25
246,Veraval,IN,2021-09-21 05:09:17,20.9,70.3667,82.81,81,100,14.72
247,Show Low,US,2021-09-21 05:09:17,34.2542,-110.0298,60.51,41,1,4.61
248,Souillac,MU,2021-09-21 05:09:18,-20.5167,57.5167,70.29,59,17,13.06
249,Port-Gentil,GA,2021-09-21 05:09:18,-0.7193,8.7815,76.53,84,97,11.21
250,Port Hardy,CA,2021-09-21 05:09:19,50.6996,-127.4199,52.93,92,100,13.35
251,Villazon,BO,2021-09-21 05:09:19,-22.0866,-65.5942,46.45,78,100,8.01
252,Lebu,CL,2021-09-21 05:09:20,-37.6167,-73.65,47.68,87,3,14.43
253,Vao,NC,2021-09-21 05:09:21,-22.6667,167.4833,71.13,67,28,15.1
254,Provideniya,RU,2021-09-21 05:09:21,64.3833,-173.3,32.11,86,90,8.95
255,Waipawa,NZ,2021-09-21 05:09:22,-41.4122,175.5153,54.23,70,96,20.42
256,Alenquer,BR,2021-09-21 05:09:22,-1.9417,-54.7383,75.54,78,80,2.1
257,San Patricio,US,2021-09-21 05:09:23,28.017,-97.5169,86.09,77,0,13.94
258,Kieta,PG,2021-09-21 05:04:31,-6.2167,155.6333,83.03,75,94,6.44
259,Uyuni,BO,2021-09-21 05:09:24,-20.4597,-66.825,46.2,63,100,11.86
260,Omsukchan,RU,2021-09-21 05:09:24,62.5333,155.8,37.76,99,100,7.47
261,Makakilo City,US,2021-09-21 05:09:25,21.3469,-158.0858,80.92,56,1,6.91
262,La Ronge,CA,2021-09-21 05:09:25,55.1001,-105.2842,44.74,81,52,5.46
263,Haines Junction,CA,2021-09-21 05:09:26,60.7522,-137.5108,42.24,94,100,4.05
264,Christchurch,NZ,2021-09-21 05:04:26,-43.5333,172.6333,64.6,45,40,4.61
265,Kattivakkam,IN,2021-09-21 05:09:27,13.2167,80.3167,91.49,56,61,7.56
266,Khorixas,NA,2021-09-21 05:09:27,-20.3667,14.9667,65.64,21,0,6.67
267,Ajdabiya,LY,2021-09-21 05:06:08,30.7554,20.2263,80.49,27,0,12.03
